商品名,狙う仕入れ価格,前回最安値,eBay相場(ドル),状態
Canon EOS Kiss X7i 本体 レンズキット,25000,35300,300.0,👀 巡回済
Canon EOS Kiss X7 本体 レンズキット,25000,29400,300.0,👀 巡回済
