ID,日付,担当者,商品名,仕入(円),eBay相場(ドル),売値(ドル),ステータス,発送サイズ,確定レート,メモ
1,2026-06-10,悠太郎,乃木坂ペンライト　齋藤飛鳥,0,0.0,0.0,掲載前,極小,0,
2,2026-06-10,自分,Canon EOS Kiss X7i,30880,0.0,0.0,掲載前,中(カメラなど),0,
